query,title,year,venue,doi,type
robot self shadow,The Long Shadow of European Self-interpretation in Another Modernity,2016,Social Imaginaries,10.5840/si20162219,journal-article
robot self shadow,The Shadow of the Other,1998,Contributions to Phenomenology,10.1007/978-94-015-9078-5_10,book-chapter
robot self shadow,Shadow and Mirror Mode Bilateral Control for a Tele-Operated Robot System,2017,International Review of Automatic Control (IREACO),10.15866/ireaco.v10i3.10869,journal-article
robot self shadow,Nine Robot&amp;#x0B4;s Morris: A Challenge for Self-Organizing Robot Teams,2009,2009 Fourth International Conference on Systems,10.1109/icons.2009.29,proceedings-article
robot self shadow,Self-Organization of a Robot Swarm into Concentric Shapes,2017,2017 14th Conference on Computer and Robot Vision (CRV),10.1109/crv.2017.58,proceedings-article
robot self shadow,FOUCAULDIAN PERSPECTIVE: EXPLORING GOVERNMENTALITY AND THE SELF-DEVELOPMENT OF CHINA’S SHADOW EDUCATION SECTOR,2019,Knowledge Cultures,10.22381/kc7120194,journal-article
robot self shadow,The Descent into the Hell of Self-Knowledge,2023,Jung's Shadow Concept,10.4324/9781003255819-2,book-chapter
robot self shadow,Contents,2015,"Silence, Scapegoats, Self-Reflection",10.14220/9783737003650.toc,other
robot self shadow,"The Buddha, the Emperor, and the Killer Robot",2024,"I, Yantra",10.2307/jj.18255359.12,book-chapter
robot self shadow,Virtual Shadow Rendering for Maintaining Situation Awareness in Proximal Human-Robot Teaming,2021,Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3434074.3447221,proceedings-article
robot self shadow,"Robot Self-defense: Robot, don't hurt me, no more",2022,2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri53351.2022.9889590,proceedings-article
robot self shadow,Computer Hints,1984,Self &amp; Society,10.1080/03060497.1984.11084653,journal-article
robot self shadow,Self And Shadow,2020,"Dietrich Bonhoeffer, Theology, and Political Resistance",10.5040/9781666991888.ch-007,other
robot self shadow,The Shadow Self and the New Girl,2024,Heroic Girls as Figures of Resistance and Futurity in Popular Culture,10.4324/9781003197775-5,book-chapter
robot self shadow,Self-portraits with Évariste Galois (and the shadow of Camille Jordan),2018,Revue d'histoire des mathématiques,10.24033/rhm.162,journal-article
robot self shadow,Appendix (Documentation),2015,"Silence, Scapegoats, Self-Reflection",10.14220/9783737003650.313,book-chapter
robot self shadow,Assassination: Killing in the Shadow of Self-Defense,2004,War and Virtual War,10.1163/9789004495364_010,book-chapter
robot self shadow,Nietzsche's existential self-healing and happiness: Facing self-shadow,2019,Journal of The Society of Philosophical Studies,10.26839/ps59.1,journal-article
robot self shadow,FireAntV3: A Modular Self-Reconfigurable Robot Toward Free-Form Self-Assembly Using Attach-Anywhere Continuous Docks,2023,IEEE Robotics and Automation Letters,10.1109/lra.2023.3290796,journal-article
robot self shadow,Soldercubes: a self-soldering self-reconfiguring modular robot system,2016,Autonomous Robots,10.1007/s10514-015-9441-4,journal-article
robot self shadow,Titelei,2015,"Silence, Scapegoats, Self-Reflection",10.14220/9783737003650.front,other
robot self shadow,"Exploring The Dynamics Between Self-Employment And Shadow Economy In India:, Granger Causality Analysis",2025,مجلة العلوم الإدارية والاقتصادية,10.71422/0427-018-001-012,journal-article
robot self shadow,The Mirror and the Shadow: Plath's Poetics of Self-Doubt,1985,Contemporary Literature,10.2307/1208027,journal-article
robot self shadow,2. The Program of Self-Discipline in The Wanderer and His Shadow,2020,The Challenge of Nietzsche,10.7208/chicago/9780226679426.003.0002,book-chapter
robot self shadow,"The Buddha, the Emperor, and the Killer Robot",2024,"I, Yantra",10.1515/9781438496634-010,book-chapter
robot self shadow,ON SELF-LEARNING CONTROL STRATEGY FOR ROBOT MANIPULATORS,1989,Robot Control 1988 (Syroco '88),10.1016/b978-0-08-035742-3.50037-x,book-chapter
robot self shadow,Surveying? Data Shadows and Shadow Bodies of Self-Measurement,2023,Berlin Keys to the Sociology of Technology,10.1007/978-3-658-41683-6_12,book-chapter
robot self shadow,Self-Motion Planning with ZIV Constraint,2017,Robot Manipulator Redundancy Resolution,10.1115/1.861rob_ch11,book-chapter
robot self shadow,Robot Self,2021,Encyclopedia of Robotics,10.1007/978-3-642-41610-1_205-1,book-chapter
robot self shadow,A Shadow Removal Method for a Mobile Robot Localization Using External Surveillance Cameras,2015,Procedia Computer Science,10.1016/j.procs.2015.07.188,journal-article
robot self shadow,"Two Countries, One Divided Self",2020,My Shadow Is My Skin,10.7560/320273-019,book-chapter
robot self shadow,Joe Shadow Nursery Company [price list] /,1926,,10.5962/bhl.title.136604,monograph
robot self shadow,Preface,2015,"Silence, Scapegoats, Self-Reflection",10.14220/9783737003650.9,other
robot self shadow,Self-Regulatory Organizations Under the Shadow of Governmental Oversight: An Experimental Investigation,2014,SSRN Electronic Journal,10.2139/ssrn.2533040,journal-article
robot self shadow,Precise self‐localization of a walking robot on rough terrain using parallel tracking and mapping,2013,Industrial Robot: An International Journal,10.1108/01439911311309924,journal-article
robot self shadow,Self-reconfiguration planning of self-reconfigurable robot based on Windmill-like crystal cell group,2011,MSIE 2011,10.1109/msie.2011.5707641,proceedings-article
robot self shadow,Machine learning–driven self-discovery of the robot body morphology,2023,Science Robotics,10.1126/scirobotics.adh0972,journal-article
robot self shadow,A novel single robot image shadow detection method based on convolutional block attention module and unsupervised learning network,2022,Frontiers in Neurorobotics,10.3389/fnbot.2022.1059497,journal-article
robot self shadow,Robot Search in 3D Swarm Construction,2007,First International Conference on Self-Adaptive and Self-Organizing Systems (SASO 2007),10.1109/saso.2007.45,proceedings-article
robot self shadow,Back from the Dead: Self-recovery Strategy for Modular Planetary Exploration Robots_supp5-3644668.mp4,2025,,10.1109/tase.2025.3644668/mm3,component
robot self shadow,Map Building through Self-Organisation for Robot Navigation,2000,Lecture Notes in Computer Science,10.1007/3-540-40044-3_1,book-chapter
robot self shadow,Registration Uncertainty for Robot Self-localization in 3D,2005,The 2nd Canadian Conference on Computer and Robot Vision (CRV'05),10.1109/crv.2005.68,proceedings-article
robot self shadow,Egocentric visual self-modeling for autonomous robot dynamics prediction and adaptation,2025,npj Robotics,10.1038/s44182-025-00031-6,journal-article
robot self shadow,Back from the Dead: Self-recovery Strategy for Modular Planetary Exploration Robots_supp4-3644668.mp4,2025,,10.1109/tase.2025.3644668/mm2,component
robot self shadow,Self-Stabilizing Robot Team Formation with Proto: IEEE Self-Adaptive and Self-Organizing Systems 2012 Demo Entry,2012,2012 IEEE Sixth International Conference on Self-Adaptive and Self-Organizing Systems,10.1109/saso.2012.43,proceedings-article
robot self shadow,Untamed Mental Well-Being of Children from Shadow Parenting Families,2023,New Studies on Suicide and Self-Harm,10.5772/intechopen.1002871,book-chapter
robot self shadow,Shadow Self: Bringing White Supremacy Into the Light,2021,Journal of Mental Health Counseling,10.17744/mehc.43.3.08,journal-article
robot self shadow,Self-Regulatory Organizations Under the Shadow of Governmental Oversight: An Experimental Investigation,2014,SSRN Electronic Journal,10.2139/ssrn.2531874,journal-article
robot self shadow,Internalization and Superego Development,2021,Obsessive-Compulsive Disorder and Uncertainty,10.5040/9781978721074.ch-2,other
robot self shadow,Shadow bounds for self-dual codes,1998,IEEE Transactions on Information Theory,10.1109/18.651000,journal-article
robot self shadow,"From Shadow to Self: A Psychoanalytic Review of Embodiment, Presence, and Self-Transformation in Virtual Reality Therapy",2025,Proceedings of the 2025 8th International Conference on Virtual Reality Technology,10.1145/3787364.3787366,proceedings-article
robot self shadow,An embodied entrainment avatar-shadow system to support avatar mediated communication,2015,2015 24th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),10.1109/roman.2015.7333615,proceedings-article
robot self shadow,Notes on the shadow process in self–dual codes,2003,Discrete Mathematics,10.1016/s0012-365x(02)00559-9,journal-article
robot self shadow,SHADOW OPTIMAL SELF-DUAL CODES,1999,Kyushu Journal of Mathematics,10.2206/kyushujm.53.223,journal-article
robot self shadow,SLEGS robot: development and design of a novel flexible and self-reconfigurable robot leg,2017,Industrial Robot: An International Journal,10.1108/ir-03-2016-0109,journal-article
robot self shadow,Self-awareness for robust miner robot autonomy,2022,,10.5194/egusphere-egu22-2716,posted-content
robot self shadow,Student developing first self-aware robot,2012,Physics Today,10.1063/pt.5.026287,journal-article
shadow detection robot vision,A Vision System for Autonomous Weed Detection Robot,2010,International Journal of Computer and Electrical Engineering,10.7763/ijcee.2010.v2.182,journal-article
shadow detection robot vision,Moving Objects Tracking and Localization with Binocular Vision Based on Sequential Detection Mechanism,2011,ROBOT,10.3724/sp.j.1218.2011.00181,journal-article
shadow detection robot vision,Image Difference Threshold Strategies and Shadow Detection.,1995,Procedings of the British Machine Vision Conference 1995,10.5244/c.9.35,proceedings-article
shadow detection robot vision,ShadowScout: Robust Unsupervised Shadow Detection for RGB Imagery,2025,"Proceedings of the 20th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",10.5220/0013254900003912,proceedings-article
shadow detection robot vision,Hierarchical shadow detection for color aerial images,2006,Computer Vision and Image Understanding,10.1016/j.cviu.2005.09.003,journal-article
shadow detection robot vision,Shadow Detection and Sun Direction in Photo Collections,2015,2015 International Conference on 3D Vision,10.1109/3dv.2015.58,proceedings-article
shadow detection robot vision,Moving Cast Shadow Detection,2014,ELCVIA Electronic Letters on Computer Vision and Image Analysis,10.5565/rev/elcvia.662,journal-article
shadow detection robot vision,Ant algorithm with elitist strategy and vision detection for mobile robot path planning,2008,Journal of Computer Applications,10.3724/sp.j.1087.2008.00092,journal-article
shadow detection robot vision,,2019,,10.1117/12.2528581.6084683995001,component
shadow detection robot vision,Robust real-time lane and road detection in critical shadow conditions,2002,Proceedings of International Symposium on Computer Vision - ISCV,10.1109/iscv.1995.477027,proceedings-article
shadow detection robot vision,Existence Detection of Objects in Images for Robot Vision Using Saliency Histogram Features,2013,2013 International Conference on Computer and Robot Vision,10.1109/crv.2013.25,proceedings-article
shadow detection robot vision,COLOR MODELS OF SHADOW DETECTION IN VIDEO SCENES,2007,Proceedings of the Second International Conference on Computer Vision Theory and Applications,10.5220/0002052202250232,proceedings-article
shadow detection robot vision,Moving cast shadow detection using physics-based features,2009,2009 IEEE Conference on Computer Vision and Pattern Recognition,10.1109/cvprw.2009.5206629,proceedings-article
shadow detection robot vision,A new method of flash image shadow detection and patch-based correction of shadow regions,2015,2015 International Conference on Image and Vision Computing New Zealand (IVCNZ),10.1109/ivcnz.2015.7761522,proceedings-article
shadow detection robot vision,2A2-K05 Retina Inspired Edge Detection for Robot Vision,2007,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2007._2a2-k05_1,journal-article
shadow detection robot vision,Computer Vision Based Method for Shadow Detection,2022,IEEE Sensors Letters,10.1109/lsens.2022.3172967,journal-article
shadow detection robot vision,Moving cast shadow detection using physics-based features,2009,2009 IEEE Conference on Computer Vision and Pattern Recognition,10.1109/cvpr.2009.5206629,proceedings-article
shadow detection robot vision,SHADOW MODELING AND DETECTION FOR ROBUST FOREGROUND SEGMENTATION IN HIGHWAY SCENARIOS,2010,Proceedings of the International Conference on Computer Vision Theory and Applications,10.5220/0002823401480157,proceedings-article
shadow detection robot vision,Shadow Detection based on Colour Segmentation and Estimated Illumination,2011,Procedings of the British Machine Vision Conference 2011,10.5244/c.25.87,proceedings-article
shadow detection robot vision,Background subtraction using finite mixtures of asymmetric Gaussian distributions and shadow detection,2014,Machine Vision and Applications,10.1007/s00138-013-0568-z,journal-article
shadow detection robot vision,Stereo Vision-based Autonomous Target Detection and Tracking on an Omnidirectional Mobile Robot,2019,"Proceedings of the 16th International Conference on Informatics in Control, Automation and Robotics",10.5220/0007835702680275,proceedings-article
shadow detection robot vision,Evaluating pruned object detection networks for real-time robot vision,2018,2018 IEEE International Conference on Autonomous Robot Systems and Competitions (ICARSC),10.1109/icarsc.2018.8374166,proceedings-article
shadow detection robot vision,Distraction-Aware Shadow Detection,2019,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr.2019.00531,proceedings-article
shadow detection robot vision,Shadow Classification and Evaluation for Soccer Player Detection,2004,Procedings of the British Machine Vision Conference 2004,10.5244/c.18.86,proceedings-article
shadow detection robot vision,Shadow-based Light Detection for HDR Environment Maps,2020,2020 35th International Conference on Image and Vision Computing New Zealand (IVCNZ),10.1109/ivcnz51579.2020.9290734,proceedings-article
shadow detection robot vision,Moving shadow detection based on stationary wavelet transform and Zernike moments,2018,IET Computer Vision,10.1049/iet-cvi.2017.0273,journal-article
shadow detection robot vision,Leave-One-Out Kernel Optimization for Shadow Detection,2015,2015 IEEE International Conference on Computer Vision (ICCV),10.1109/iccv.2015.387,proceedings-article
shadow detection robot vision,Kinect Shadow Detection and Classification,2013,2013 IEEE International Conference on Computer Vision Workshops,10.1109/iccvw.2013.97,proceedings-article
shadow detection robot vision,Shadow optimization from structured deep edge detection,2015,2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr.2015.7298818,proceedings-article
shadow detection robot vision,Towards Transferring Grasping from Human to Robot with RGBD Hand Detection,2017,2017 14th Conference on Computer and Robot Vision (CRV),10.1109/crv.2017.45,proceedings-article
shadow detection robot vision,Updated Paired Regions for Shadow Detection from Single Image,2021,Proceedings of the British Machine Vision Conference 2021,10.5244/c.35.105,proceedings-article
shadow detection robot vision,Monocular vision-based collision avoidance system using shadow detection,2013,2013 7th IEEE GCC Conference and Exhibition (GCC),10.1109/ieeegcc.2013.6705845,proceedings-article
shadow detection robot vision,Stereo vision and shadow analysis for landing hazard detection,2008,2008 IEEE International Conference on Robotics and Automation,10.1109/robot.2008.4543625,proceedings-article
shadow detection robot vision,Geometrical Method for Shadow Detection of Static Images,2018,Lecture Notes in Computational Vision and Biomechanics,10.1007/978-3-319-71767-8_13,book-chapter
shadow detection robot vision,Automatic Feature Learning for Robust Shadow Detection,2014,2014 IEEE Conference on Computer Vision and Pattern Recognition,10.1109/cvpr.2014.249,proceedings-article
shadow detection robot vision,A new cast shadow detection method for traffic surveillance video analysis using color and statistical modeling,2020,Image and Vision Computing,10.1016/j.imavis.2019.103863,journal-article
shadow detection robot vision,Vision Based Obstacle Detection Module for a Wheeled Mobile Robot,2010,Mobile Robots Navigation,10.5772/8997,book-chapter
shadow detection robot vision,Landing Hazard Detection with Stereo Vision and Shadow Analysis,2007,AIAA Infotech@Aerospace 2007 Conference and Exhibit,10.2514/6.2007-2835,proceedings-article
shadow detection robot vision,Video Pause Detection Using Wavelets,2009,2009 Canadian Conference on Computer and Robot Vision,10.1109/crv.2009.20,proceedings-article
shadow detection robot vision,Instance Shadow Detection,2020,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr42600.2020.00195,proceedings-article
shadow detection robot vision,Object Detection Using Principal Contour Fragments,2011,2011 Canadian Conference on Computer and Robot Vision,10.1109/crv.2011.55,proceedings-article
shadow detection robot vision,Computer Vision-Based Detection of Violent Individual Actions Witnessed by Crowds,2016,2016 13th Conference on Computer and Robot Vision (CRV),10.1109/crv.2016.14,proceedings-article
shadow detection robot vision,3D objects detection with Bayesian networks for vision-guided mobile robot navigation,2005,"ICARCV 2004 8th Control, Automation, Robotics and Vision Conference, 2004.",10.1109/icarcv.2004.1469004,proceedings-article
shadow detection robot vision,Light-weight shadow detection via GCN-based annotation strategy and knowledge distillation,2022,Computer Vision and Image Understanding,10.1016/j.cviu.2021.103341,journal-article
shadow detection robot vision,The McGill Object Detection Suite,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.75,proceedings-article
shadow detection robot vision,3D Object Detection Based on Geometrical Segmentation,2013,2013 International Conference on Computer and Robot Vision,10.1109/crv.2013.21,proceedings-article
shadow detection robot vision,Flame Region Detection Based on Histogram Backprojection,2010,2010 Canadian Conference on Computer and Robot Vision,10.1109/crv.2010.29,proceedings-article
shadow detection robot vision,Shadow Detection with Conditional Generative Adversarial Networks,2017,2017 IEEE International Conference on Computer Vision (ICCV),10.1109/iccv.2017.483,proceedings-article
shadow detection robot vision,Noisy Label Recovery for Shadow Detection in Unfamiliar Domains,2016,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr.2016.411,proceedings-article
shadow detection robot vision,Compatibilities for Object Boundary Detection,2001,Lecture Notes in Computer Science,10.1007/3-540-45124-2_2,book-chapter
shadow detection robot vision,Apple Detection for Harvesting Robot Using Computer Vision,2018,HELIX,10.29042/2018-4370-4374,journal-article
shadow detection robot vision,Object detection in noisy images,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_34,book-chapter
shadow detection robot vision,"Building facade detection, segmentation, and parameter estimation for mobile robot stereo vision",2013,Image and Vision Computing,10.1016/j.imavis.2013.08.006,journal-article
shadow detection robot vision,An investigation into noise-bound shadow detection and removal,2008,2008 23rd International Conference Image and Vision Computing New Zealand,10.1109/ivcnz.2008.4762070,proceedings-article
shadow detection robot vision,Semantic-aware Transformer for shadow detection,2024,Computer Vision and Image Understanding,10.1016/j.cviu.2024.103941,journal-article
shadow detection robot vision,Learning Shadow Correspondence for Video Shadow Detection,2022,Lecture Notes in Computer Science,10.1007/978-3-031-19790-1_42,book-chapter
shadow detection robot vision,People Detection Using Multiple Sensors on a Mobile Robot,2008,Lecture Notes in Electrical Engineering,10.1007/978-0-387-75523-6_3,book-chapter
shadow detection robot vision,Single Image Shadow Detection Using Multiple Cues in a Supermodular MRF,2013,Procedings of the British Machine Vision Conference 2013,10.5244/c.27.126,proceedings-article
shadow detection robot vision,Metadata-Weighted Score Fusion for Multimedia Event Detection,2014,2014 Canadian Conference on Computer and Robot Vision,10.1109/crv.2014.47,proceedings-article
shadow detection robot vision,Face Detection Using Combinations of Classifiers,2005,The 2nd Canadian Conference on Computer and Robot Vision (CRV'05),10.1109/crv.2005.40,proceedings-article
shadow detection robot vision,The Improvement of the Background Subtraction and Shadow Detection in Grayscale Video Sequences,2007,International Machine Vision and Image Processing Conference (IMVIP 2007),10.1109/imvip.2007.21,proceedings-article
shadow detection robot vision,Retina Vessel Detection Using Fuzzy Ant Colony Algorithm,2010,2010 Canadian Conference on Computer and Robot Vision,10.1109/crv.2010.38,proceedings-article
shadow detection robot vision,"Swarms for robot vision: The case of adaptive visual trail detection and
                        tracking",2011,"ECAL 2011: The 11th European Conference on Artificial
                    Life",10.7551/978-0-262-29714-1-ch107,proceedings-article
shadow detection robot vision,A fast edge detection chip for robot vision systems,2003,Sixth Multidimensional Signal Processing Workshop,10.1109/mdsp.1989.97027,proceedings-article
shadow detection robot vision,Pedestrian detection system based on stereo vision for mobile robot,2011,2011 17th Korea-Japan Joint Workshop on Frontiers of Computer Vision (FCV),10.1109/fcv.2011.5739758,proceedings-article
shadow detection robot vision,Closed-loop person tracking and detection,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301461,proceedings-article
shadow detection robot vision,Detection of Linear and Cubic Interpolation in JPEG Compressed Images,2005,The 2nd Canadian Conference on Computer and Robot Vision (CRV'05),10.1109/crv.2005.33,proceedings-article
shadow detection robot vision,"Multi-viewpoint Silhouette Extraction with 3D Context-aware Error Detection, Correction, and Shadow Suppression",2009,IPSJ Transactions on Computer Vision and Applications,10.2197/ipsjtcva.1.242,journal-article
shadow detection robot vision,Implementing a shadow detection algorithm for synthetic vision systems in reconfigurable hardware,2006,SPIE Proceedings,10.1117/12.665895,proceedings-article
shadow detection robot vision,Improved motion segmentation based on shadow detection,2007,ELCVIA Electronic Letters on Computer Vision and Image Analysis,10.5565/rev/elcvia.138,journal-article
shadow detection robot vision,VVNet:Underwater Object Detection Network Based on Vision Transformer and Vision Retnet for Underwater Robot Picking,2024,2024 International Symposium on Digital Home (ISDH),10.1109/isdh64927.2024.00010,proceedings-article
shadow detection robot vision,Adaptive shadow detection using global texture and sampling deduction,2013,IET Computer Vision,10.1049/iet-cvi.2012.0106,journal-article
shadow detection robot vision,ARGAN: Attentive Recurrent Generative Adversarial Network for Shadow Detection and Removal,2019,2019 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv.2019.01031,proceedings-article
shadow detection robot vision,A control method of industrial robot grasping disorderly based on machine vision,2025,"Fourth International Conference on Machine Vision, Automatic Identification, and Detection (MVAID 2025)",10.1117/12.3077357,proceedings-article
shadow detection robot vision,A robust facial feature detection on mobile robot platform,2010,Machine Vision and Applications,10.1007/s00138-009-0224-9,journal-article
shadow detection robot vision,Mitigating Intensity Bias in Shadow Detection via Feature Decomposition and Reweighting,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv48922.2021.00466,proceedings-article
shadow detection robot vision,An Efficient Match-based Duplication Detection Algorithm,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.9,proceedings-article
shadow detection robot vision,Antibacterial activity detection and evaluation based on the detection of multiple concentric circles with the Hough transform,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301463,proceedings-article
shadow detection robot vision,Shadow Detection and Disparity Processing Based on Binocular Vision,2022,2022 IEEE 2nd International Conference on Digital Twins and Parallel Intelligence (DTPI),10.1109/dtpi55838.2022.9998922,proceedings-article
shadow detection robot vision,Color-based detection robust to varying illumination spectrum,2013,2013 IEEE Workshop on Robot Vision (WORV),10.1109/worv.2013.6521924,proceedings-article
shadow detection robot vision,Robust Detection of Paint Defects in Moulded Plastic Parts,2014,2014 Canadian Conference on Computer and Robot Vision,10.1109/crv.2014.48,proceedings-article
shadow detection robot vision,Head Tracking with Shape Modeling and Detection,2005,The 2nd Canadian Conference on Computer and Robot Vision (CRV'05),10.1109/crv.2005.46,proceedings-article
shadow detection robot vision,Face Detection Technology Based on Robot Vision,2015,"Proceedings of the 2015 Conference on Informatization in Education, Management and Business",10.2991/iemb-15.2015.16,proceedings-article
shadow detection robot vision,On Structuring Multiple Grouping Hypotheses in Generic Object Detection,2013,2013 International Conference on Computer and Robot Vision,10.1109/crv.2013.43,proceedings-article
shadow detection robot vision,Corridor Line Detection for Vision Based Indoor Robot Navigation,2006,2006 Canadian Conference on Electrical and Computer Engineering,10.1109/ccece.2006.277812,proceedings-article
shadow detection robot vision,Hand movement detection using monocular camera for robot cooperation,2008,"2008 10th International Conference on Control, Automation, Robotics and Vision",10.1109/icarcv.2008.4795870,proceedings-article
shadow detection robot vision,Real-Time Specularity Detection Using Unnormalized Wiener Entropy,2013,2013 International Conference on Computer and Robot Vision,10.1109/crv.2013.45,proceedings-article
shadow detection robot vision,An Improved Adaptive Background Mixture Model for Real-time Tracking with Shadow Detection,2002,Video-Based Surveillance Systems,10.1007/978-1-4615-0913-4_11,book-chapter
shadow detection robot vision,Moving Shadow Detection using a Combined Geometric and Color Classification Approach,2005,2005 Seventh IEEE Workshops on Applications of Computer Vision (WACV/MOTION'05) - Volume 1,10.1109/acvmot.2005.76,proceedings-article
shadow detection robot vision,Simple motion detection circuits and system for mobile robot based on biological vision system,2014,2014 13th International Conference on Control Automation Robotics &amp; Vision (ICARCV),10.1109/icarcv.2014.7064281,proceedings-article
shadow detection robot vision,Video Instance Shadow Detection Under the Sun and Sky_supp1-3468877.pdf,2025,,10.1109/tip.2024.3468877/mm1,component
shadow detection robot vision,Detection and tracking of pianist hands and fingers,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.26,proceedings-article
shadow detection robot vision,Sensitivity evaluation of embedded code detection in imperceptible structured light sensing,2013,2013 IEEE Workshop on Robot Vision (WORV),10.1109/worv.2013.6521910,proceedings-article
shadow detection robot vision,Photon Detection and Color Perception at Low Light Levels,2014,2014 Canadian Conference on Computer and Robot Vision,10.1109/crv.2014.45,proceedings-article
shadow detection robot vision,Shadow Detection by Combined Photometric Invariants for Improved Foreground Segmentation,2005,2005 Seventh IEEE Workshops on Applications of Computer Vision (WACV/MOTION'05) - Volume 1,10.1109/acvmot.2005.108,proceedings-article
shadow detection robot vision,Layered perceptual representation for shadow vision: From detection to removal,2015,Proceedings of 2015 International Conference on Intelligent Computing and Internet of Things,10.1109/icaiot.2015.7111538,proceedings-article
shadow detection robot vision,Detection of perceptual junctions by curve partitioning and grouping,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301466,proceedings-article
shadow detection robot vision,Human Visual System Based Framework for Concealed Weapon Detection,2011,2011 Canadian Conference on Computer and Robot Vision,10.1109/crv.2011.40,proceedings-article
shadow detection robot vision,"Computer vision methods for robot tasks: Motion detection, depth estimation and tracking",2012,AI Communications,10.3233/aic-2012-0520,journal-article
shadow detection robot vision,The extension of statistical face detection to face tracking,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301415,proceedings-article
shadow detection robot vision,Vision-Based Elderly Fall Detection Algorithm for Mobile Robot,2021,2021 IEEE 4th International Conference on Electronics Technology (ICET),10.1109/icet51757.2021.9450950,proceedings-article
shadow detection robot vision,Collaborative Multi-Camera Surveillance with Automated Person Detection,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.21,proceedings-article
shadow detection robot vision,Binocular Vision Based Drivable Region Fast Detection for Indoor Mobile Robot,2013,2013 Fourth Global Congress on Intelligent Systems,10.1109/gcis.2013.47,proceedings-article
shadow detection robot vision,Direction-Aware Spatial Context Features for Shadow Detection,2018,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,10.1109/cvpr.2018.00778,proceedings-article
shadow detection robot vision,Retinex theory‐based shadow detection and removal in single outdoor image,2009,Industrial Robot: An International Journal,10.1108/01439910910950531,journal-article
shadow detection robot vision,Change detection in aerial images,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301467,proceedings-article
shadow detection robot vision,Experimental evaluation of vision-based ZMP detection for biped walking robot,2013,2013 IEEE International Symposium on Industrial Electronics,10.1109/isie.2013.6563841,proceedings-article
shadow detection robot vision,Single-Stage Instance Shadow Detection with Bidirectional Relation Learning,2021,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr46437.2021.00007,proceedings-article
shadow detection robot vision,RenDetNet: Weakly-Supervised Shadow Detection with Shadow Caster Verification,2025,Lecture Notes in Computer Science,10.1007/978-3-031-91838-4_11,book-chapter
shadow detection robot vision,Real time detection and evaluation of Region of Interest by mobile robot using vision,2009,RO-MAN 2009 - The 18th IEEE International Symposium on Robot and Human Interactive Communication,10.1109/roman.2009.5326261,proceedings-article
shadow detection robot vision,Moving shadow detection via binocular vision and colour clustering,2020,IET Computer Vision,10.1049/iet-cvi.2019.0175,journal-article
shadow detection robot vision,Point Pair Feature Based Object Detection for Random Bin Picking,2016,2016 13th Conference on Computer and Robot Vision (CRV),10.1109/crv.2016.59,proceedings-article
shadow detection robot vision,Vision based Fire Detection and Robot Maneuvering Algorithm,2013,International Journal of Computer Applications,10.5120/12777-9272,journal-article
shadow detection robot vision,Ferromagnetic Climbing Robot for Industrial Flaw Detection: An Implementation of Computer Vision,2021,Proceedings of the International Conference on Industrial Engineering and Operations Management,10.46254/an11.20210375,proceedings-article
shadow detection robot vision,Stereo-Vision-Based Fire Detection and Suppression Robot for Buildings,2011,Depth Map and 3D Imaging Applications,10.4018/978-1-61350-326-3.ch022,book-chapter
shadow detection robot vision,Lifelong Change Detection: Continuous Domain Adaptation for Small Object Change Detection in Everyday Robot Navigation,2023,2023 18th International Conference on Machine Vision and Applications (MVA),10.23919/mva57639.2023.10215686,proceedings-article
shadow detection robot vision,Region detection and description for Object Category Recognition,2007,Fourth Canadian Conference on Computer and Robot Vision (CRV '07),10.1109/crv.2007.55,proceedings-article
